lux,r,g,b,decision
22.8,198,69,117,OFF
13.5,206,82,118,OFF
4.5,163,142,166,RED
25.2,112,199,169,OFF
21.5,80,82,161,OFF
21.7,124,175,108,OFF
14.9,178,137,55,OFF
16.2,99,82,110,OFF
18.3,174,94,52,OFF
19.9,152,125,160,OFF
28.2,125,190,156,OFF
11.4,168,129,106,OFF
12.4,93,192,104,OFF
22.6,219,162,73,OFF
5.3,196,171,88,WHITE
8.2,111,153,101,RED
6.5,205,121,88,WHITE
23.5,158,157,116,OFF
24.5,196,70,63,OFF
10.2,203,160,53,OFF
14.2,138,108,81,OFF
29.4,119,132,51,OFF
21.0,160,125,79,OFF
13.6,140,85,178,OFF
17.2,179,190,120,OFF
24.3,153,157,70,OFF
8.5,217,120,152,WHITE
10.4,139,91,88,OFF
9.6,212,181,131,WHITE
21.1,168,104,160,OFF
29.1,156,163,108,OFF
1.4,122,99,79,BOTH
15.5,197,134,63,OFF
29.5,97,175,180,OFF
10.6,207,63,132,OFF
19.7,114,62,173,OFF
25.7,148,61,82,OFF
15.9,132,119,167,OFF
28.0,129,60,99,OFF
22.1,81,127,127,OFF
4.5,110,171,149,RED
22.9,152,108,180,OFF
15.7,135,122,66,OFF
4.3,127,159,123,RED
20.7,123,165,54,OFF
20.9,200,188,163,OFF
19.0,125,159,103,OFF
2.7,157,89,156,BOTH
7.9,97,81,144,RED
21.5,185,81,97,OFF
28.4,141,113,147,OFF
14.0,191,152,58,OFF
10.0,173,89,175,OFF
14.8,88,157,98,OFF
15.7,90,145,115,OFF
2.3,96,138,69,RED
16.1,94,78,67,OFF
8.9,125,152,137,RED
9.1,106,172,103,RED
19.5,205,169,65,OFF
18.4,133,107,65,OFF
28.2,195,109,176,OFF
22.2,161,197,54,OFF
0.7,114,68,150,RED
21.1,204,197,155,OFF
8.9,130,144,144,RED
4.1,218,125,112,BOTH
24.4,188,147,70,OFF
27.0,148,138,156,OFF
8.7,112,147,69,RED
27.0,170,115,69,OFF
4.8,102,84,51,BOTH
3.4,117,91,76,BOTH
20.0,87,120,110,OFF
11.9,84,120,172,OFF
12.4,107,166,139,OFF
12.6,192,97,75,OFF
29.7,144,131,167,OFF
14.0,92,105,133,OFF
21.6,182,89,125,OFF
7.1,108,156,117,RED
21.5,144,134,68,OFF
7.4,187,123,174,WHITE
27.8,191,67,179,OFF
25.9,203,67,65,OFF
11.2,219,152,98,OFF
22.6,196,199,171,OFF
1.8,139,168,177,RED
13.4,196,151,57,OFF
19.3,150,118,110,OFF
20.2,135,171,125,OFF
4.2,98,185,130,RED
23.3,179,195,126,OFF
21.3,180,121,136,OFF
18.0,175,64,177,OFF
20.6,115,185,118,OFF
15.9,180,172,95,OFF
26.0,127,126,128,OFF
19.1,98,62,101,OFF
11.3,179,105,72,OFF
21.6,87,188,123,OFF
9.2,186,101,83,WHITE
26.0,179,170,97,OFF
26.6,182,76,143,OFF
25.0,147,82,124,OFF
18.9,82,90,141,OFF
18.0,90,137,63,OFF
17.8,184,144,124,OFF
24.7,108,114,98,OFF
11.1,181,94,84,OFF
12.9,113,87,169,OFF
3.3,118,121,146,RED
9.1,211,159,58,WHITE
13.7,83,175,134,OFF
6.3,184,93,73,WHITE
2.4,181,153,93,BOTH
10.7,140,85,72,OFF
20.1,126,174,169,OFF
9.7,124,121,105,WHITE
18.8,133,95,139,OFF
11.6,211,148,131,OFF
9.1,203,101,106,WHITE
3.9,204,63,50,BOTH
4.0,173,155,150,BOTH
3.4,137,143,53,RED
19.6,155,119,88,OFF
6.0,145,150,53,RED
22.7,153,124,92,OFF
14.6,186,153,62,OFF
3.3,84,106,68,RED
24.9,95,131,164,OFF
15.9,218,106,156,OFF
17.1,164,138,125,OFF
4.9,125,149,88,RED
10.7,106,157,113,OFF
11.2,98,157,126,OFF
28.2,174,176,53,OFF
18.5,175,167,53,OFF
6.8,219,83,126,WHITE
8.3,209,159,149,WHITE
5.8,104,120,165,RED
19.7,152,145,72,OFF
20.4,135,161,146,OFF
12.5,143,135,148,OFF
25.8,107,196,111,OFF
0.8,130,61,169,RED
10.9,212,148,74,OFF
1.1,142,60,51,BOTH
22.8,160,149,114,OFF
2.5,131,180,137,RED
19.4,129,164,162,WHITE
14.3,170,87,109,OFF
20.6,202,104,159,OFF
27.6,105,168,157,OFF
13.5,135,100,129,BOTH
13.5,144,118,133,OFF
28.0,94,190,129,OFF
21.5,173,128,33,OFF
11.6,121,102,117,WHITE
19.7,142,96,69,RED
11.7,132,142,119,OFF
11.7,118,79,67,OFF
17.3,149,120,66,WHITE
0.1,141,142,176,OFF
1.6,135,180,155,WHITE
10.9,120,155,112,OFF
7.3,163,102,120,OFF
17.9,216,175,103,OFF
8.1,155,118,135,RED
4.1,190,82,86,OFF
27.1,94,123,152,OFF
13.6,156,185,103,OFF
15.9,106,136,96,OFF
4.0,90,130,113,OFF
11.0,120,193,89,OFF
16.3,198,75,125,WHITE
6.2,188,80,91,OFF
18.4,159,68,131,RED
10.6,88,144,160,OFF
13.1,142,136,84,OFF
10.6,162,189,107,OFF
30.2,157,139,131,BOTH
15.3,76,114,95,RED
6.9,114,130,131,OFF
22.0,147,134,134,RED
5.6,171,66,155,OFF
17.1,62,234,89,OFF
0.0,143,150,75,OFF
4.8,155,138,100,OFF
17.0,184,153,74,OFF
21.3,177,157,135,RED
16.8,173,124,67,OFF
14.5,118,105,204,RED
13.0,73,153,164,OFF
3.6,134,144,113,OFF
9.6,190,99,147,RED
11.7,206,184,48,RED
23.8,178,141,212,WHITE
18.1,167,158,89,OFF
1.3,165,183,108,RED
18.0,127,131,39,RED
12.3,144,142,132,OFF
10.0,217,161,69,OFF
20.3,112,102,117,OFF
23.6,214,132,91,OFF
22.8,137,135,70,OFF
8.7,203,93,81,BOTH
12.9,93,219,121,OFF
18.0,173,76,62,RED
23.2,120,80,83,OFF
11.6,93,180,139,OFF
13.9,158,157,215,OFF
6.6,190,90,131,OFF
5.8,116,153,76,OFF
21.9,90,186,98,BOTH
26.2,146,129,114,OFF
14.8,146,229,99,WHITE
23.4,172,64,148,OFF
18.3,188,156,121,OFF
10.2,147,174,148,OFF
18.3,224,164,100,OFF
27.7,159,122,165,OFF
15.1,136,119,106,OFF
27.9,85,147,74,OFF
0.0,139,161,198,RED
22.0,136,153,41,OFF
16.1,188,170,83,OFF
13.0,168,91,88,OFF
16.1,102,121,211,RED
0.0,157,94,184,RED
13.6,177,115,171,RED
18.2,211,169,99,OFF
27.2,185,134,208,OFF
